pp3year,level,schools_province,totalmale,totalfemale,totalstd,school_english
2566,ม.6,กระบี่,340,633,973,Krabi
2566,ม.6,กรุงเทพมหานคร,4094,6491,10585,Bangkok Metropolis
2566,ม.6,กาญจนบุรี,725,1198,1923,Kanchanaburi
2566,ม.6,กาฬสินธุ์,751,1359,2110,Kalasin
2566,ม.6,กำแพงเพชร,825,1240,2065,Kamphaeng Phet
2566,ม.6,ขอนแก่น,680,1024,1704,Khon Kaen
2566,ม.6,จันทบุรี,750,885,1635,Chanthaburi
2566,ม.6,ฉะเชิงเทรา,612,763,1375,Chachoengsao
2566,ม.6,ชลบุรี,2102,3827,5929,Chonburi
2566,ม.6,ชัยนาท,353,617,970,Chai Nat
2566,ม.6,ชัยภูมิ,446,579,1025,Chaiyaphum
2566,ม.6,ชุมพร,783,1287,2070,Chumphon
2566,ม.6,ตรัง,1079,1786,2865,Trang
2566,ม.6,ตราด,296,536,832,Trat
2566,ม.6,ตาก,675,1266,1941,Tak
2566,ม.6,นครนายก,95,144,239,Nakhon Nayok
2566,ม.6,นครปฐม,1170,1280,2450,Nakhon Pathom
2566,ม.6,นครพนม,869,1497,2366,Nakhon Phanom
2566,ม.6,นครราชสีมา,1073,2522,3595,Nakhon Ratchasima
2566,ม.6,นครศรีธรรมราช,1849,3259,5108,Nakhon Si Thammarat
2566,ม.6,นครสวรรค์,644,1024,1668,Nakhon Sawan
2566,ม.6,นนทบุรี,803,1346,2149,Nonthaburi
2566,ม.6,นราธิวาส,468,823,1291,Narathiwat
2566,ม.6,น่าน,475,661,1136,Nan
2566,ม.6,บึงกาฬ,378,745,1123,Bueng Kan
2566,ม.6,บุรีรัมย์,1330,2425,3755,Buri Ram
2566,ม.6,ปทุมธานี,1615,2085,3700,Pathum Thani
2566,ม.6,ประจวบคีรีขันธ์,446,798,1244,Prachuap Khiri Khan
2566,ม.6,ปราจีนบุรี,669,1214,1883,Prachin Buri
2566,ม.6,ปัตตานี,187,368,555,Pattani
2566,ม.6,พระนครศรีอยุธยา,893,1416,2309,Phra Nakhon Si Ayutthaya
2566,ม.6,พะเยา,236,373,609,Phayao
2566,ม.6,พังงา,131,195,326,Phang Nga
2566,ม.6,พัทลุง,391,594,985,Phatthalung
2566,ม.6,พิจิตร,608,986,1594,Phichit
2566,ม.6,พิษณุโลก,846,1065,1911,Phitsanulok
2566,ม.6,ภูเก็ต,184,587,771,Phuket
2566,ม.6,มหาสารคาม,594,964,1558,Maha Sarakham
2566,ม.6,มุกดาหาร,235,400,635,Mukdahan
2566,ม.6,ยะลา,29,73,102,Yala
2566,ม.6,ยโสธร,288,511,799,Yasothon
2566,ม.6,ระนอง,325,576,901,Ranong
2566,ม.6,ระยอง,1210,2124,3334,Rayong
2566,ม.6,ราชบุรี,964,1554,2518,Ratchaburi
2566,ม.6,ร้อยเอ็ด,613,982,1595,Roi Et
2566,ม.6,ลพบุรี,413,714,1127,Lop Buri
2566,ม.6,ลำปาง,426,688,1114,Lampang
2566,ม.6,ลำพูน,230,354,584,Lamphun
2566,ม.6,ศรีสะเกษ,657,1368,2025,Si Sa Ket
2566,ม.6,สกลนคร,836,1867,2703,Sakon Nakhon
2566,ม.6,สงขลา,893,1485,2378,Songkhla
2566,ม.6,สตูล,350,807,1157,Satun
2566,ม.6,สมุทรปราการ,788,1195,1983,Samut Prakan
2566,ม.6,สมุทรสงคราม,101,140,241,Samut Songkhram
2566,ม.6,สมุทรสาคร,368,473,841,Samut Sakhon
2566,ม.6,สระบุรี,674,1089,1763,Saraburi
2566,ม.6,สระแก้ว,412,741,1153,Sa Kaeo
2566,ม.6,สิงห์บุรี,55,78,133,Sing Buri
2566,ม.6,สุพรรณบุรี,1106,1848,2954,Suphan Buri
